Name,Link,Vibe,StreamingServices,open_Mon,open_Tue,open_Wed,open_Thu,open_Fri,open_Sat,open_Sun
Alley Bar,https://www.a2alleybar.com,Signature Cocktails & Spirits,Cable,19:00,19:00,19:00,19:00,17:00,17:00,19:00
Ashley's Restaurant,https://ashleys.com/?srsltid=AfmBOopoXlA_38WIv4mRcfAgIc5gBH1cwwf2xO9TVnLX9bNaqb3WnBvH,"Traditional Sports Bar Environment (Multiple screens/high energy), Quality Beer Selection",Cable,11:30,11:30,11:30,11:30,11:30,11:30,11:30
Babs' Underground,https://www.babsannarbor.com,Signature Cocktails & Spirits,Cable,19:00,19:00,19:00,19:00,19:00,19:00,19:00
Chapala Mexican Restaurant,https://eatchapala.com,"High-Quality Food Menu (Beyond standard pub fare), Family-Friendly Atmosphere","Cable, Peacock",12:00,12:00,12:00,12:00,12:00,12:00,12:00
Detroit Pizza Pub,https://detroitpizzapub.com,"High-Quality Food Menu (Beyond standard pub fare), Family-Friendly Atmosphere",Cable,11:00,11:00,11:00,11:00,11:00,11:00,11:00
Evergreen Restaurant,https://www.evergreen-restaurant.us/online/store/downtown/,"High-Quality Food Menu (Beyond standard pub fare), Family-Friendly Atmosphere",Youtube TV,11:00,11:00,11:00,11:00,11:00,11:00,11:00
Grizzly Peak Brewing Company,https://www.grizzlypeak.net,Quality Beer Selection,Cable,11:30,11:30,11:30,11:30,11:30,11:30,11:30
Heidelberg Restaurant,https://heidelbergannarbor.com,"Quality Beer Selection, High-Quality Food Menu (Beyond standard pub fare)","Prime Video, Peacock, Fubo Sports",16:00,16:00,16:00,16:00,16:00,16:00,16:00
Hopcat,https://www.hopcat.com/ann-arbor/home,"Traditional Sports Bar Environment (Multiple screens/high energy), Family-Friendly Atmosphere","Cable, Peacock",11:00,11:00,11:00,11:00,11:00,10:00,10:00
Knight's Steakhouse,https://knightsrestaurants.com,"Signature Cocktails & Spirits, High-Quality Food Menu (Beyond standard pub fare)","Cable, Prime Video",CLOSED,11:30,11:30,11:30,11:30,11:00,11:00
Old Town Tavern,https://www.oldtownaa.com,Traditional Sports Bar Environment (Multiple screens/high energy),Cable,11:30,11:30,11:30,11:30,11:30,11:30,11:30
Slurping Turtle,https://slurpingturtle.com/annarbor/SlurpingTurtleAnnArbor,"High-Quality Food Menu (Beyond standard pub fare), Family-Friendly Atmosphere",Cable,11:30,11:30,11:30,11:30,11:30,11:30,11:30
The Grotto - Watering Hole,https://thegrottobar.com,"Traditional Sports Bar Environment (Multiple screens/high energy), Quality Beer Selection","Prime Video, YouTube TV, Peacock",15:00,15:00,15:00,15:00,11:00,11:00,12:00
Tios Mexican Cafe,https://www.tiosa2.com,"High-Quality Food Menu (Beyond standard pub fare), Family-Friendly Atmosphere","Cable, Prime Video",11:00,11:00,11:00,11:00,11:00,11:00,11:00
Vinology,https://vinologya2.com,"Signature Cocktails & Spirits, High-Quality Food Menu (Beyond standard pub fare)","Cable, Peacock",16:00,16:00,16:00,16:00,16:00,16:00,10:00
